                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                0.73078,                 1.1885,                  1.354,                0.44318,                0.93506,                0.67829,                 0.6023,                0.50977,                 1.4251,                 1.2826,             0.00068621,             0.00068621,             0.00068621
                     91,                0.74648,                 1.1864,                  1.344,                0.51184,                0.95248,                0.81164,                0.72793,                0.51196,                 1.0071,                 1.2971,             0.00068456,             0.00068456,             0.00068456
                     92,                0.73061,                 1.2104,                 1.3632,                0.71789,                0.69503,                0.73398,                0.66599,                0.44401,                0.97646,                 1.2261,             0.00068291,             0.00068291,             0.00068291
                     93,                0.73102,                 1.2355,                  1.341,                0.65388,                0.89079,                0.85073,                0.75352,                0.51045,                0.90679,                 1.2792,             0.00068126,             0.00068126,             0.00068126
                     94,                0.69862,                 1.1354,                 1.3456,                0.56908,                0.85573,                0.82492,                0.71376,                0.55223,                0.88105,                 1.3459,             0.00067961,             0.00067961,             0.00067961
                     95,                0.74923,                 1.1823,                  1.356,                0.46218,                0.96364,                0.65096,                0.53594,                0.70848,                 1.1385,                 1.4966,             0.00067796,             0.00067796,             0.00067796
                     96,                0.70817,                 1.1137,                 1.3185,                0.51288,                0.91804,                0.74004,                0.67012,                0.47837,                 1.0177,                 1.2603,             0.00067631,             0.00067631,             0.00067631
                     97,                0.67608,                 1.1479,                 1.3209,                0.55084,                 0.8918,                 0.7953,                0.71314,                0.46468,                 0.9989,                 1.2349,             0.00067466,             0.00067466,             0.00067466
                     98,                  0.731,                 1.2329,                 1.3456,                0.53202,                0.94041,                0.84379,                0.73864,                0.53377,                0.93266,                 1.3434,             0.00067301,             0.00067301,             0.00067301
                     99,                0.73386,                 1.1619,                 1.3523,                0.50854,                 0.8694,                0.77182,                0.69449,                0.47348,                0.98382,                 1.2607,             0.00067136,             0.00067136,             0.00067136
                    100,                0.72466,                 1.2165,                   1.34,                0.53012,                 0.8788,                0.86276,                0.77004,                0.51314,                0.90086,                 1.2962,             0.00066972,             0.00066972,             0.00066972
                    101,                0.68816,                 1.1191,                 1.3241,                0.54658,                0.85728,                0.76964,                0.69587,                 0.4386,                 1.0082,                 1.2223,             0.00066807,             0.00066807,             0.00066807
                    102,                 0.7269,                  1.183,                 1.3481,                0.55835,                0.86524,                0.72756,                0.66411,                0.43809,                0.99416,                 1.2216,             0.00066642,             0.00066642,             0.00066642
                    103,                0.69551,                 1.1219,                 1.3247,                0.64057,                 0.8022,                0.79864,                0.71098,                0.49195,                0.80626,                 1.2798,             0.00066477,             0.00066477,             0.00066477
                    104,                0.68639,                 1.1018,                 1.3071,                0.62991,                0.93548,                0.84514,                0.76653,                0.45964,                0.82516,                 1.2392,             0.00066312,             0.00066312,             0.00066312
                    105,                0.73446,                 1.1191,                 1.3244,                0.61279,                0.98864,                0.84418,                0.75402,                0.48316,                 0.8372,                 1.2572,             0.00066147,             0.00066147,             0.00066147
                    106,                0.67495,                  1.109,                 1.2951,                0.69347,                0.83239,                0.88578,                0.78965,                0.48468,                0.77864,                  1.237,             0.00065982,             0.00065982,             0.00065982
                    107,                0.67975,                 1.0285,                 1.3108,                0.56443,                0.87621,                 0.8155,                0.73815,                0.47061,                 0.8354,                 1.2287,             0.00065817,             0.00065817,             0.00065817
                    108,                0.70486,                 1.0813,                 1.3113,                0.77564,                 0.7812,                0.86101,                0.74917,                0.55487,                0.84516,                 1.3193,             0.00065652,             0.00065652,             0.00065652
