                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                0.85822,                 1.1089,                 1.2049,                0.43189,                0.70737,                0.53503,                0.33541,                  1.284,                 1.5564,                 1.8394,             0.00073239,             0.00073239,             0.00073239
                     63,                0.82129,                 1.1176,                 1.1632,                0.43979,                0.62751,                0.52641,                0.28522,                 1.4436,                 1.6395,                 2.0169,             0.00073074,             0.00073074,             0.00073074
                     64,                 0.8094,                 1.0406,                 1.1504,                0.35813,                0.55574,                0.40062,                0.23216,                 1.3751,                 2.2407,                 1.9087,             0.00072909,             0.00072909,             0.00072909
                     65,                0.78683,                0.99115,                  1.149,                0.33835,                0.61623,                0.45597,                0.27551,                 1.4548,                  1.758,                 1.8581,             0.00072744,             0.00072744,             0.00072744
                     66,                0.79966,                0.98208,                 1.1541,                0.33695,                0.68499,                0.47446,                0.27106,                 1.4279,                 1.7584,                  1.865,             0.00072579,             0.00072579,             0.00072579
                     67,                  0.815,                0.99691,                   1.16,                0.38161,                0.60054,                0.48823,                0.29422,                 1.3774,                 1.7284,                 1.7849,             0.00072414,             0.00072414,             0.00072414
                     68,                0.79608,                 1.0224,                 1.1634,                0.34235,                0.74455,                0.49317,                0.28442,                 1.3864,                 1.5708,                 1.8816,             0.00072249,             0.00072249,             0.00072249
                     69,                0.84255,                 1.0769,                 1.1724,                0.40007,                0.66055,                0.46203,                0.25859,                 1.4612,                 1.9119,                 1.9974,             0.00072084,             0.00072084,             0.00072084
                     70,                0.79362,                0.99959,                 1.1418,                0.40296,                0.70851,                0.52354,                0.29774,                 1.3875,                 1.5639,                 1.8888,              0.0007192,              0.0007192,              0.0007192
                     71,                0.81278,                0.97289,                 1.1656,                0.42283,                 0.6574,                0.50046,                 0.2847,                 1.3258,                 1.6935,                 1.8925,             0.00071755,             0.00071755,             0.00071755
                     72,                0.79871,                 1.0053,                 1.1448,                0.37125,                0.65137,                0.45277,                0.26232,                 1.3342,                 1.8054,                 1.9412,              0.0007159,              0.0007159,              0.0007159
                     73,                0.82218,                 1.0165,                 1.1705,                0.38577,                0.68402,                0.49642,                0.29014,                 1.3831,                 1.6909,                 1.8884,             0.00071425,             0.00071425,             0.00071425
                     74,                0.81992,                 1.0415,                 1.1706,                0.38929,                0.69655,                 0.4982,                0.29764,                 1.3016,                 1.5386,                 1.8348,              0.0007126,              0.0007126,              0.0007126
                     75,                0.78922,                 1.0584,                 1.1558,                0.42641,                0.70416,                0.51116,                0.27606,                 1.4296,                 1.5249,                 2.0232,             0.00071095,             0.00071095,             0.00071095
                     76,                0.80778,                 1.0468,                 1.1438,                0.40817,                0.68461,                0.52125,                0.29257,                 1.3346,                 1.5085,                 1.9006,              0.0007093,              0.0007093,              0.0007093
                     77,                 0.7956,                 0.9969,                 1.1484,                0.33423,                0.65981,                0.49766,                0.28182,                 1.3675,                  1.884,                 1.9271,             0.00070765,             0.00070765,             0.00070765
