                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                0.74702,                 1.2064,                 1.3528,                0.17629,                0.17643,                0.10002,                0.07154,                 2.4871,                 5.1613,                 3.3024,             0.00071755,             0.00071755,             0.00071755
                     72,                0.69963,                 1.1879,                 1.3077,                0.16677,                0.13069,                0.09057,                 0.0604,                 2.5664,                 5.4153,                 3.4627,              0.0007159,              0.0007159,              0.0007159
                     73,                0.66271,                 1.1747,                 1.3027,                0.29009,                0.15825,                0.12388,                0.09716,                 2.4958,                 5.2449,                 3.3345,             0.00071425,             0.00071425,             0.00071425
                     74,                0.77233,                 1.2516,                 1.3616,                0.18961,                0.17662,                0.10935,                0.07887,                  2.511,                 5.0933,                 3.2946,              0.0007126,              0.0007126,              0.0007126
                     75,                0.70477,                 1.2325,                 1.3232,                0.20743,                  0.197,                0.12874,                0.09264,                 2.5091,                 5.2013,                 3.3571,             0.00071095,             0.00071095,             0.00071095
                     76,                0.73669,                 1.1712,                 1.3518,                0.12585,                0.13808,                0.07556,                0.06047,                  2.524,                 5.7103,                 3.5471,              0.0007093,              0.0007093,              0.0007093
                     77,                 0.7251,                 1.1626,                 1.3261,                0.18592,                0.17221,                0.09376,                0.06024,                 2.6287,                 5.4547,                 3.5791,             0.00070765,             0.00070765,             0.00070765
                     78,                0.67406,                 1.1117,                 1.2768,                0.23621,                0.13657,                0.09801,                0.06937,                 2.5841,                 5.4428,                 3.4737,               0.000706,               0.000706,               0.000706
                     79,                0.67604,                 1.0891,                 1.2762,                  0.179,                0.16128,                0.09848,                0.06623,                 2.5674,                 5.2104,                 3.3725,             0.00070435,             0.00070435,             0.00070435
                     80,                0.67826,                 1.0968,                  1.285,                0.21134,                0.16826,                0.10054,                0.07109,                 2.5178,                 5.3812,                 3.4383,              0.0007027,              0.0007027,              0.0007027
