                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                0.75032,                 1.3166,                 1.3726,                0.45096,                 0.8488,                0.74231,                0.65728,                0.50413,                  1.228,                 1.2785,              0.0007159,              0.0007159,              0.0007159
                     73,                0.74816,                 1.2775,                 1.3776,                0.65318,                0.77719,                 0.7606,                0.65634,                0.51516,                 1.0102,                  1.282,             0.00071425,             0.00071425,             0.00071425
                     74,                0.74792,                 1.2371,                 1.3964,                0.49414,                0.87686,                0.76142,                0.67156,                0.53275,                 1.0158,                  1.337,              0.0007126,              0.0007126,              0.0007126
                     75,                0.74462,                  1.265,                 1.3634,                0.50035,                 0.6616,                0.76211,                0.69342,                0.47713,                 1.2183,                 1.2571,             0.00071095,             0.00071095,             0.00071095
                     76,                0.71129,                 1.2357,                 1.3612,                0.51108,                0.82314,                0.79022,                  0.704,                0.52594,                 1.1162,                 1.3004,              0.0007093,              0.0007093,              0.0007093
                     77,                0.73158,                 1.2734,                 1.3767,                0.47601,                0.80441,                 0.7963,                0.70606,                0.52616,                  1.123,                 1.2885,             0.00070765,             0.00070765,             0.00070765
                     78,                 0.7163,                 1.2084,                 1.3502,                 0.5244,                 0.8259,                  0.794,                0.69242,                 0.5315,                 1.0629,                 1.2992,               0.000706,               0.000706,               0.000706
                     79,                0.70513,                 1.1914,                 1.3373,                0.39315,                0.86066,                0.69625,                0.61964,                0.46556,                 1.1895,                 1.2324,             0.00070435,             0.00070435,             0.00070435
                     80,                 0.7337,                 1.2178,                 1.3628,                0.41844,                0.76423,                 0.6998,                0.62185,                0.47088,                 1.1694,                  1.256,              0.0007027,              0.0007027,              0.0007027
                     81,                0.72529,                 1.1755,                 1.3484,                0.39276,                0.74935,                0.75421,                 0.6623,                0.48786,                 1.1707,                 1.2535,             0.00070105,             0.00070105,             0.00070105
                     82,                0.77292,                 1.2817,                 1.3567,                0.45195,                0.89327,                0.85461,                 0.7541,                0.51083,                 1.0508,                 1.2835,              0.0006994,              0.0006994,              0.0006994
                     83,                 0.7108,                 1.2357,                 1.3522,                0.53544,                0.87436,                 0.7646,                0.66698,                0.52023,                 1.1195,                 1.2812,             0.00069775,             0.00069775,             0.00069775
                     84,                0.74626,                 1.2513,                 1.3757,                0.49654,                0.83974,                0.77775,                0.70731,                0.45329,                 1.1601,                 1.2166,              0.0006961,              0.0006961,              0.0006961
                     85,                0.70162,                 1.1882,                 1.3073,                0.56638,                 0.8719,                0.81794,                 0.7114,                0.59593,                0.94851,                 1.4312,             0.00069446,             0.00069446,             0.00069446
                     86,                0.74851,                 1.2333,                 1.3755,                 0.5587,                0.88513,                0.86277,                0.77037,                0.49737,                0.90455,                 1.2766,             0.00069281,             0.00069281,             0.00069281
                     87,                0.72375,                 1.1732,                 1.3457,                0.54647,                0.85596,                0.81837,                0.73582,                0.45157,                0.97706,                  1.232,             0.00069116,             0.00069116,             0.00069116
                     88,                0.70523,                 1.1519,                 1.3321,                0.63325,                0.88719,                0.85509,                0.75619,                0.51425,                 1.0362,                 1.2921,             0.00068951,             0.00068951,             0.00068951
                     89,                0.73225,                 1.1464,                   1.35,                0.67005,                0.92734,                0.89488,                0.80362,                0.50453,                0.94936,                 1.2762,             0.00068786,             0.00068786,             0.00068786
                     90,                0.71974,                 1.1035,                  1.343,                0.61822,                0.80637,                0.86549,                0.78207,                0.48087,                 1.0032,                 1.2296,             0.00068621,             0.00068621,             0.00068621
                     91,                0.74456,                 1.0884,                 1.3386,                0.47655,                0.87124,                0.76145,                0.67598,                0.51792,                0.95145,                 1.2717,             0.00068456,             0.00068456,             0.00068456
                     92,                0.68996,                 1.0857,                 1.3294,                0.42762,                0.82836,                0.77458,                0.70671,                0.46641,                 1.2287,                 1.2539,             0.00068291,             0.00068291,             0.00068291
                     93,                0.69931,                 1.1188,                  1.309,                0.58952,                0.75595,                0.83518,                0.74164,                0.47964,                 1.0556,                 1.2347,             0.00068126,             0.00068126,             0.00068126
                     94,                0.66501,                 1.0946,                 1.3124,                0.56603,                0.90434,                0.90029,                0.81454,                0.44232,                 1.0127,                 1.1863,             0.00067961,             0.00067961,             0.00067961
